#ZVView-data-copy:  14-Jul-2026 14:26:49
#=======================================
#
#name:   ENDF/B-VII.1: AR-40(N,TOT)
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  51296
#data...
#            X            Y
#          MeV        barns
     0.0110015     0.437395 
     0.0110095      0.43734 
     0.0110176     0.437286 
     0.0110257     0.437232 
     0.0110335      0.43718 
     0.0110412     0.437129 
     0.0110471     0.437092 
     0.0110529     0.437055 
     0.0110585      0.43702 
     0.0110636     0.436989 
     0.0110687     0.436958 
     0.0110738     0.436928 
     0.0110772     0.436909 
     0.0110806      0.43689 
     0.0110841     0.436872 
     0.0110873     0.436856 
     0.0110905      0.43684 
     0.0110937     0.436825 
     0.0110969     0.436812 
     0.0111001     0.436799 
      0.011101     0.436795 
     0.0111033     0.436843 
     0.0111057     0.436894 
     0.0111081     0.436946 
     0.0111107     0.437004 
     0.0111136     0.437071 
     0.0111156     0.437118 
     0.0111176     0.437165 
     0.0111196     0.437214 
     0.0111215     0.437264 
     0.0111235     0.437316 
     0.0111255      0.43737 
     0.0111276      0.43743 
     0.0111291     0.437473 
     0.0111305     0.437516 
     0.0111319     0.437562 
     0.0111333     0.437609 
     0.0111348     0.437659 
     0.0111362     0.437711 
     0.0111375     0.437761 
     0.0111387     0.437808 
     0.0111398     0.437858 
      0.011141     0.437911 
      0.011142     0.437956 
     0.0111422     0.437988 
     0.0111434     0.438173 
     0.0111445     0.438361 
     0.0111457     0.438553 
     0.0111467     0.438728 
     0.0111477     0.438885 
     0.0111486     0.439046 
     0.0111495     0.439211 
     0.0111504     0.439381 
     0.0111513     0.439557 
     0.0111522      0.43974 
     0.0111531      0.43993 
     0.0111539       0.4401 
     0.0111543     0.440203 
     0.0111545      0.44029 
     0.0111552     0.440585 
     0.0111558     0.440887 
     0.0111565     0.441196 
     0.0111571     0.441513 
     0.0111578     0.441839 
     0.0111584     0.442176 
      0.011159     0.442506 
     0.0111596     0.442831 
     0.0111598     0.442924 
     0.0111602     0.443348 
     0.0111608      0.44395 
     0.0111614      0.44457 
     0.0111618     0.445048 
     0.0111622     0.445541 
     0.0111627     0.446052 
     0.0111631     0.446584 
     0.0111635      0.44708 
     0.0111635     0.447108 
     0.0111638     0.447868 
     0.0111642     0.448653 
     0.0111645     0.449468 
     0.0111647     0.450032 
     0.0111649     0.450616 
     0.0111651     0.451224 
     0.0111652     0.451366 
     0.0111654     0.452178 
     0.0111656     0.453256 
     0.0111658     0.454374 
      0.011166     0.455241 
     0.0111661     0.456138 
     0.0111663     0.457069 
     0.0111663     0.457271 
     0.0111665     0.458418 
     0.0111666     0.459913 
     0.0111668     0.461456 
     0.0111669     0.462933 
     0.0111671     0.464215 
     0.0111671     0.464383 
     0.0111672     0.465951 
     0.0111673     0.467792 
     0.0111674     0.469682 
     0.0111676     0.471625 
     0.0111676     0.472643 
     0.0111677     0.473941 
     0.0111678     0.476638 
      0.011168     0.479408 
     0.0111681     0.482253 
     0.0111682     0.484859 
     0.0111682     0.485268 
     0.0111683     0.489031 
     0.0111685     0.492896 
     0.0111686     0.496112 
     0.0111686     0.497016 
     0.0111687       0.5019 
     0.0111688     0.506905 
     0.0111689     0.510665 
      0.011169     0.512324 
     0.0111691     0.518623 
     0.0111692     0.525086 
     0.0111693     0.529402 
     0.0111694     0.532159 
     0.0111695     0.540242 
     0.0111696     0.548525 
     0.0111697      0.55338 
     0.0111697     0.556127 
     0.0111698     0.564545 
     0.0111699     0.567727 
     0.0111699     0.573799 
     0.0111701     0.583632 
     0.0111702     0.593673 
     0.0111702     0.597084 
     0.0111703     0.604801 
     0.0111703     0.612648 
     0.0111704     0.623331 
     0.0111705     0.629242 
     0.0111706     0.647449 
     0.0111707      0.65368 
     0.0111708     0.667435 
     0.0111709     0.688616 
     0.0111711      0.71254 
     0.0111712     0.728885 
     0.0111712     0.737883 
     0.0111714     0.765468 
     0.0111714     0.774913 
     0.0111715     0.795549 
     0.0111717     0.827257 
     0.0111718     0.862689 
     0.0111719      0.88684 
     0.0111719      0.89999 
     0.0111721     0.947149 
     0.0111721     0.954044 
     0.0111723     0.999033 
     0.0111724      1.02979 
     0.0111725      1.05461 
     0.0111726      1.10257 
     0.0111726      1.11463 
     0.0111728      1.17618 
     0.0111728      1.17945 
      0.011173       1.2496 
      0.011173      1.25639 
     0.0111731      1.32504 
     0.0111732      1.34347 
     0.0111733       1.4058 
     0.0111734      1.43762 
     0.0111735       1.4926 
     0.0111736      1.57446 
     0.0111736      1.58369 
     0.0111738      1.70121 
     0.0111739      1.72517 
      0.011174      1.81201 
     0.0111741      1.88988 
     0.0111742       1.9285 
     0.0111744      2.05172 
     0.0111744      2.06877 
     0.0111746      2.18335 
     0.0111747      2.28785 
     0.0111748      2.39131 
     0.0111749      2.48377 
     0.0111751      2.61558 
     0.0111753      2.76384 
     0.0111753      2.82285 
     0.0111755      2.98785 
     0.0111756        3.097 
     0.0111758      3.30318 
      0.011176      3.45952 
     0.0111761      3.63502 
     0.0111763      3.84257 
     0.0111766      4.15824 
     0.0111769      4.46358 
     0.0111777      5.40196 
     0.0111778      5.43686 
     0.0111783      5.93644 
     0.0111783      5.97009 
     0.0111787      6.33366 
     0.0111788      6.43808 
      0.011179       6.6395 
     0.0111791      6.71358 
     0.0111793      6.87824 
     0.0111794      6.99098 
     0.0111796      7.05836 
     0.0111798      7.20258 
     0.0111798      7.22923 
     0.0111802      7.38887 
     0.0111805      7.49581 
     0.0111805      7.49715 
     0.0111808      7.54741 
     0.0111809      7.54801 
      0.011181      7.55308 
      0.011181      7.55308 
     0.0111813      7.52899 
     0.0111813      7.52383 
     0.0111816      7.46281 
     0.0111816      7.45838 
     0.0111819       7.3503 
     0.0111819      7.34424 
     0.0111822      7.22599 
     0.0111823      7.15611 
     0.0111824      7.05552 
     0.0111827       6.8963 
     0.0111828      6.82064 
     0.0111831      6.58409 
     0.0111831      6.56227 
     0.0111835      6.22472 
     0.0111835      6.16295 
     0.0111839      5.79801 
      0.011184      5.66259 
     0.0111844      5.27171 
     0.0111848      4.76955 
     0.0111854      4.12114 
     0.0111855      4.04982 
     0.0111858      3.70368 
     0.0111859      3.53296 
     0.0111862      3.30278 
     0.0111863      3.20574 
     0.0111865      2.98808 
     0.0111866      2.89625 
     0.0111867      2.76475 
     0.0111869      2.60667 
      0.011187      2.55188 
     0.0111872       2.3837 
     0.0111872      2.35182 
     0.0111875      2.16421 
     0.0111875      2.13961 
     0.0111877      2.02321 
     0.0111877      1.98884 
     0.0111879      1.89052 
     0.0111879      1.84762 
     0.0111881      1.76584 
     0.0111881      1.71572 
     0.0111882      1.64906 
     0.0111883      1.59307 
     0.0111884      1.54003 
     0.0111886      1.47943 
     0.0111886      1.43855 
     0.0111888      1.37458 
     0.0111888      1.34434 
      0.011189      1.28511 
      0.011189      1.27809 
     0.0111892      1.20266 
     0.0111893      1.12687 
     0.0111895      1.08033 
     0.0111895      1.05746 
     0.0111896      1.03598 
     0.0111897     0.993794 
     0.0111899     0.954969 
     0.0111899     0.935919 
       0.01119     0.918089 
     0.0111901     0.883125 
     0.0111903     0.851104 
     0.0111903     0.835411 
     0.0111904     0.820946 
     0.0111905     0.792619 
     0.0111906     0.778743 
     0.0111906     0.766144 
     0.0111908     0.741492 
     0.0111908     0.729424 
     0.0111909     0.718494 
      0.011191     0.697123 
     0.0111911     0.687324 
     0.0111912     0.675524 
     0.0111913     0.659091 
     0.0111913     0.650904 
     0.0111914     0.643779 
     0.0111915     0.629573 
     0.0111916     0.619567 
     0.0111916     0.616063 
     0.0111917     0.603827 
     0.0111919     0.592702 
     0.0111919     0.591947 
      0.011192     0.581456 
     0.0111921     0.571185 
     0.0111921     0.569781 
     0.0111922     0.562063 
     0.0111923     0.553292 
     0.0111924     0.550275 
     0.0111924     0.545399 
     0.0111926      0.53806 
     0.0111927     0.530887 
     0.0111927     0.528799 
     0.0111928     0.524592 
     0.0111929     0.518746 
      0.011193     0.513029 
      0.011193     0.511657 
     0.0111931      0.50807 
     0.0111932     0.503431 
     0.0111934     0.498897 
     0.0111934     0.498043 
     0.0111935     0.495052 
     0.0111936     0.491032 
     0.0111937     0.487878 
     0.0111938     0.485489 
     0.0111938     0.484924 
      0.011194     0.481282 
     0.0111941     0.477756 
     0.0111943     0.474746 
     0.0111943     0.474441 
     0.0111944     0.471946 
     0.0111946     0.469538 
     0.0111947     0.467209 
     0.0111949     0.464952 
      0.011195     0.464005 
      0.011195     0.463154 
     0.0111952     0.461715 
     0.0111954     0.460323 
     0.0111955     0.458978 
     0.0111957     0.457671 
     0.0111958       0.4564 
     0.0111959     0.455783 
      0.011196       0.4554 
     0.0111961     0.454666 
     0.0111963     0.453725 
     0.0111965     0.452821 
     0.0111967     0.451949 
      0.011197     0.451039 
     0.0111972     0.450092 
     0.0111973     0.449725 
     0.0111974     0.449415 
     0.0111977     0.448921 
     0.0111979     0.448445 
     0.0111983     0.447758 
     0.0111986     0.447099 
      0.011199     0.446462 
     0.0111992     0.446047 
     0.0111997     0.445236 
     0.0111998     0.445156 
     0.0112002     0.444764 
     0.0112007     0.444346 
     0.0112013     0.443854 
     0.0112018      0.44338 
     0.0112024     0.442921 
      0.011203     0.442475 
     0.0112036      0.44204 
     0.0112042     0.441615 
     0.0112047     0.441197 
     0.0112048     0.441152 
     0.0112053     0.440967 
     0.0112061       0.4407 
     0.0112069     0.440443 
     0.0112077     0.440195 
     0.0112084     0.439955 
     0.0112092     0.439722 
       0.01121     0.439495 
     0.0112108     0.439273 
     0.0112115     0.439056 
     0.0112125     0.438785 
     0.0112135      0.43852 
     0.0112145     0.438261 
     0.0112148     0.438185 
     0.0112155      0.43812 
     0.0112165     0.438031 
     0.0112175     0.437945 
     0.0112185     0.437863 
     0.0112195     0.437783 
     0.0112208     0.437681 
     0.0112221     0.437583 
     0.0112235     0.437488 
     0.0112248     0.437396 
     0.0112261     0.437307 
     0.0112274     0.437221 
     0.0112288     0.437136 
     0.0112301     0.437054 
     0.0112317     0.436956 
     0.0112333      0.43686 
     0.0112349     0.436767 
     0.0112365     0.436675 
     0.0112381     0.436584 
     0.0112406     0.436451 
      0.011243      0.43632 
     0.0112454     0.436191 
     0.0112478     0.436064 
     0.0112502     0.435938 
     0.0112513     0.435882 
     0.0112527     0.435866 
     0.0112551     0.435837 
     0.0112575     0.435809 
     0.0112599     0.435782 
     0.0112623     0.435756 
     0.0112658     0.435721 
     0.0112692     0.435687 
     0.0112726     0.435653 
      0.011276     0.435621 
     0.0112794     0.435589 
     0.0112829     0.435558 
      0.011288     0.435513 
     0.0112933     0.435467 
     0.0112988     0.435421 
     0.0113043     0.435375 
     0.0113097     0.435331 
     0.0113152     0.435286 
     0.0113207     0.435242 
     0.0113264     0.435197 
      0.011334     0.435137 
     0.0113416     0.435078 
     0.0113492      0.43502 
     0.0113589     0.434946 
     0.0113686     0.434872 
     0.0113783     0.434799 
      0.011388     0.434726 
     0.0114026     0.434617 
     0.0114172     0.434508 
      0.011432     0.434398 
     0.0114474     0.434284 
     0.0114679     0.434133 
     0.0114889     0.433977 
      0.011524     0.433719 
      0.011552     0.433513 
     0.0115941     0.433205 
     0.0116362     0.432896 
     0.0116642     0.432691 
     0.0117203      0.43228 
     0.0117764     0.431869 
     0.0118887     0.431049 
     0.0120009     0.430228 
     0.0121131     0.429408 
     0.0123375     0.427767 
     0.0128766     0.423828 
      0.013422     0.419842 
     0.0142072     0.414105 
      0.014997     0.408334 
     0.0156316     0.403698 
     0.0158238     0.402293 
     0.0163416      0.39851 
      0.016651      0.39625 
     0.0168593     0.394729 
     0.0169887     0.393784 
     0.0171181     0.392839 
     0.0172152      0.39213 
     0.0172799     0.391658 
     0.0173123     0.391423 
      0.017377     0.390951 
     0.0174218     0.390625 
     0.0174666     0.390299 
     0.0174964     0.390082 
     0.0175263     0.389866 
     0.0175561     0.389649 
     0.0175785     0.389487 
     0.0176009     0.389326 
     0.0176218     0.389175 
     0.0176427     0.389025 
     0.0176578     0.388917 
     0.0176729     0.388809 
      0.017688     0.388701 
     0.0177031     0.388594 
     0.0177182     0.388488 
      0.017728     0.388419 
     0.0177376     0.388353 
     0.0177471     0.388287 
     0.0177567     0.388221 
     0.0177662     0.388156 
     0.0177757     0.388092 
     0.0177828     0.388045 
     0.0177899     0.387998 
      0.017797     0.387952 
     0.0178037      0.38791 
     0.0178102     0.387869 
     0.0178167     0.387829 
     0.0178232     0.387789 
     0.0178298     0.387752 
      0.017836     0.387717 
     0.0178415     0.387687 
      0.017847     0.387659 
     0.0178491     0.387649 
     0.0178507     0.387676 
     0.0178544     0.387738 
     0.0178581     0.387801 
     0.0178618     0.387865 
     0.0178652     0.387926 
     0.0178683     0.387981 
     0.0178714     0.388039 
     0.0178745     0.388097 
     0.0178776     0.388157 
     0.0178806     0.388218 
     0.0178837     0.388281 
     0.0178868     0.388347 
     0.0178895     0.388405 
     0.0178928      0.38848 
      0.017895     0.388532 
     0.0178972     0.388585 
     0.0178994     0.388641 
     0.0179016       0.3887 
     0.0179037      0.38876 
     0.0179059     0.388824 
     0.0179073     0.388865 
     0.0179077     0.388914 
     0.0179095     0.389105 
     0.0179113     0.389299 
     0.0179131     0.389497 
     0.0179149     0.389697 
     0.0179167     0.389902 
     0.0179185     0.390112 
     0.0179203     0.390327 
     0.0179223     0.390575 
     0.0179236     0.390746 
      0.017925     0.390922 
     0.0179263     0.391102 
     0.0179274     0.391257 
     0.0179277     0.391324 
      0.017929     0.391736 
     0.0179303     0.392155 
     0.0179315     0.392537 
     0.0179326     0.392881 
     0.0179337     0.393231 
     0.0179347     0.393589 
     0.0179358     0.393954 
     0.0179369     0.394329 
     0.0179379     0.394714 
     0.0179385     0.394919 
      0.017939     0.395257 
       0.01794     0.395909 
     0.0179408     0.396509 
     0.0179417     0.397121 
     0.0179426     0.397746 
     0.0179435     0.398385 
     0.0179443     0.399042 
     0.0179445     0.399179 
     0.0179452      0.40006 
     0.0179461     0.401188 
     0.0179469     0.402193 
     0.0179475      0.40307 
     0.0179482     0.403966 
     0.0179488     0.404884 
     0.0179494      0.40568 
     0.0179495     0.405916 
     0.0179501     0.407453 
     0.0179506     0.408629 
     0.0179511     0.409831 
     0.0179516     0.411061 
      0.017952      0.41218 
     0.0179522      0.41265 
     0.0179524     0.413517 
     0.0179528     0.415089 
     0.0179533     0.416704 
     0.0179535     0.417642 
     0.0179537     0.418644 
     0.0179539     0.420208 
     0.0179542     0.421805 
     0.0179545     0.423438 
     0.0179547     0.425115 
     0.0179547     0.425175 
      0.017955     0.427494 
     0.0179553     0.429955 
     0.0179555     0.432483 
     0.0179557     0.433922 
     0.0179558     0.435449 
      0.017956     0.438064 
     0.0179562     0.440427 
     0.0179563     0.442185 
     0.0179564     0.443772 
     0.0179566     0.447665 
     0.0179569     0.451655 
      0.017957     0.453365 
     0.0179571     0.456337 
     0.0179573     0.461557 
     0.0179575     0.465562 
     0.0179577     0.470441 
     0.0179578     0.475413 
     0.0179579     0.477668 
      0.017958     0.480971 
     0.0179582     0.487026 
     0.0179583     0.492518 
     0.0179583      0.49332 
     0.0179585     0.500696 
     0.0179587     0.508206 
     0.0179587     0.510763 
     0.0179588     0.516737 
      0.017959     0.525868 
     0.0179591     0.533115 
     0.0179592     0.535484 
     0.0179593     0.546338 
     0.0179594     0.553098 
     0.0179595     0.557925 
     0.0179597     0.570552 
     0.0179597     0.576281 
     0.0179598     0.584292 
       0.01796     0.598968 
     0.0179601     0.603118 
     0.0179602     0.615185 
     0.0179603     0.632187 
     0.0179604     0.634106 
     0.0179605     0.651239 
     0.0179607     0.668664 
     0.0179607     0.671079 
     0.0179608     0.693132 
     0.0179609     0.705602 
      0.017961     0.716567 
     0.0179612     0.741657 
     0.0179612     0.747343 
     0.0179614     0.769105 
     0.0179615     0.794414 
     0.0179615     0.797868 
     0.0179617     0.829536 
     0.0179618     0.847421 
     0.0179619     0.863043 
      0.017962     0.898747 
     0.0179621     0.906806 
     0.0179622     0.937545 
     0.0179623     0.973221 
     0.0179624     0.978054 
     0.0179626      1.03723 
     0.0179626      1.04731 
     0.0179628       1.1018 
     0.0179629      1.12959 
      0.017963      1.17165 
     0.0179632      1.22058 
     0.0179633      1.24697 
     0.0179635      1.32089 
     0.0179635      1.32808 
     0.0179637      1.41609 
     0.0179637      1.42357 
     0.0179639      1.51104 
      0.017964      1.53128 
     0.0179642      1.61283 
     0.0179642      1.64778 
     0.0179644      1.72177 
     0.0179645      1.77348 
     0.0179646      1.83803 
     0.0179647      1.90868 
     0.0179649      1.98322 
      0.017965      2.05351 
     0.0179651      2.11607 
     0.0179652      2.20826 
     0.0179653      2.25711 
     0.0179655      2.40527 
     0.0179656      2.43035 
     0.0179659      2.64337 
     0.0179659      2.67044 
     0.0179662      2.89943 
     0.0179662       2.9284 
     0.0179665      3.17349 
     0.0179666      3.23573 
     0.0179669      3.49706 
      0.017967      3.56326 
     0.0179673      3.83982 
     0.0179674      3.90973 
     0.0179677      4.20216 
     0.0179679      4.46082 
     0.0179682      4.73091 
     0.0179687      5.23768 
     0.0179691      5.67294 
     0.0179699      6.54442 
     0.0179701      6.70903 
     0.0179705      7.16296 
     0.0179707      7.38228 
      0.017971      7.66627 
     0.0179713       7.8776 
     0.0179715      8.04556 
     0.0179717      8.23162 
      0.017972      8.39788 
     0.0179721       8.5076 
     0.0179724      8.65705 
     0.0179725      8.69289 
     0.0179728      8.87604 
     0.0179729      8.90927 
     0.0179733      9.02113 
     0.0179734      9.04107 
     0.0179737      9.09683 
     0.0179738      9.10502 
      0.017974       9.1169 
      0.017974      9.11695 
     0.0179744      9.09052 
     0.0179748      9.00506 
     0.0179751      8.89154 
     0.0179754      8.74749 
     0.0179756      8.67879 
     0.0179759       8.5171 
     0.0179759       8.4579 
     0.0179763      8.24234 
     0.0179764      8.11593 
     0.0179767      7.90236 
     0.0179769      7.75891 
